date,home_team,away_team,home_shots,away_shots,home_sot,away_sot
2015-08-22,Verona,Roma,12,20,6,7
2015-08-22,Lazio,Bologna,21,8,9,4
2015-08-23,Juventus,Udinese,21,6,5,2
2015-08-23,Palermo,Genoa,19,11,6,3
2015-08-23,Sampdoria,Carpi,10,25,7,8
2015-08-23,Sassuolo,Napoli,15,14,6,3
2015-08-23,Inter,Atalanta,21,5,7,0
2015-08-23,Empoli,Chievo,14,12,4,3
2015-08-23,Fiorentina,AC Milan,13,9,7,0
2015-08-23,Frosinone,Torino,13,26,3,6
2015-08-29,Bologna,Sassuolo,6,9,2,2
2015-08-29,AC Milan,Empoli,6,18,4,3
2015-08-30,Atalanta,Frosinone,25,14,11,4
2015-08-30,Genoa,Verona,20,12,6,2
2015-08-30,Carpi,Inter,10,12,5,5
2015-08-30,Chievo,Lazio,9,13,5,2
2015-08-30,Udinese,Palermo,25,5,6,1
2015-08-30,Torino,Fiorentina,10,8,6,5
2015-08-30,Roma,Juventus,18,10,7,2
2015-08-30,Napoli,Sampdoria,27,9,7,4
2015-09-12,Fiorentina,Genoa,11,12,3,1
2015-09-12,Frosinone,Roma,18,20,5,3
2015-09-12,Juventus,Chievo,26,6,6,3
2015-09-13,Inter,AC Milan,16,19,4,3
2015-09-13,Lazio,Udinese,14,11,8,5
2015-09-13,Empoli,Napoli,16,17,2,4
2015-09-13,Sassuolo,Atalanta,9,9,8,4
2015-09-13,Verona,Torino,12,10,3,5
2015-09-13,Palermo,Carpi,14,9,6,2
2015-09-14,Sampdoria,Bologna,12,9,4,2
2015-09-19,Udinese,Empoli,7,12,2,6
2015-09-19,AC Milan,Palermo,18,13,8,3
2015-09-20,Bologna,Frosinone,12,20,2,5
2015-09-20,Napoli,Lazio,19,9,10,1
2015-09-20,Carpi,Fiorentina,12,8,3,2
2015-09-20,Atalanta,Verona,15,9,3,3
2015-09-20,Chievo,Inter,15,14,2,3
2015-09-20,Roma,Sassuolo,21,12,7,4
2015-09-20,Genoa,Juventus,8,13,0,4
2015-09-20,Torino,Sampdoria,19,13,8,5
2015-09-22,Udinese,AC Milan,11,9,3,3
2015-09-23,Lazio,Genoa,10,10,3,3
2015-09-23,Palermo,Sassuolo,9,13,2,4
2015-09-23,Sampdoria,Roma,6,25,3,8
2015-09-23,Carpi,Napoli,11,22,1,4
2015-09-23,Chievo,Torino,10,4,5,1
2015-09-23,Fiorentina,Bologna,18,3,4,1
2015-09-23,Inter,Verona,17,7,4,1
2015-09-23,Juventus,Frosinone,36,9,7,1
2015-09-24,Empoli,Atalanta,10,13,1,3
2015-09-26,Napoli,Juventus,13,12,5,3
2015-09-26,Roma,Carpi,17,13,10,6
2015-09-27,Genoa,AC Milan,11,12,2,3
2015-09-27,Verona,Lazio,6,13,1,2
2015-09-27,Sassuolo,Chievo,13,12,5,2
2015-09-27,Torino,Palermo,10,12,3,3
2015-09-27,Bologna,Udinese,12,11,3,3
2015-09-27,Inter,Fiorentina,5,12,2,8
2015-09-28,Frosinone,Empoli,10,13,4,5
2015-09-28,Atalanta,Sampdoria,18,9,5,4
2015-10-03,Carpi,Torino,7,14,3,3
2015-10-03,Chievo,Verona,17,10,7,3
2015-10-04,Lazio,Frosinone,29,12,10,6
2015-10-04,Fiorentina,Atalanta,29,5,9,1
2015-10-04,AC Milan,Napoli,13,11,2,4
2015-10-04,Juventus,Bologna,19,2,8,1
2015-10-04,Empoli,Sassuolo,18,7,4,1
2015-10-04,Sampdoria,Inter,15,17,6,7
2015-10-04,Palermo,Roma,14,13,5,8
2015-10-04,Udinese,Genoa,9,19,3,7
2015-10-17,Roma,Empoli,9,13,5,6
2015-10-17,Torino,AC Milan,6,8,2,2
2015-10-18,Bologna,Palermo,17,9,6,2
2015-10-18,Frosinone,Sampdoria,14,19,4,2
2015-10-18,Genoa,Chievo,12,21,6,3
2015-10-18,Verona,Udinese,8,15,2,5
2015-10-18,Sassuolo,Lazio,16,12,4,3
2015-10-18,Atalanta,Carpi,15,13,7,5
2015-10-18,Napoli,Fiorentina,13,10,6,3
2015-10-18,Inter,Juventus,8,15,2,4
2015-10-24,Palermo,Inter,10,19,2,7
2015-10-24,Empoli,Genoa,15,14,5,3
2015-10-24,Carpi,Bologna,8,14,2,4
2015-10-25,Sampdoria,Verona,10,11,6,1
2015-10-25,Udinese,Frosinone,19,12,7,2
2015-10-25,AC Milan,Sassuolo,21,4,3,2
2015-10-25,Juventus,Atalanta,19,5,10,0
2015-10-25,Lazio,Torino,10,8,3,3
2015-10-25,Fiorentina,Roma,21,6,4,3
2015-10-25,Chievo,Napoli,7,18,1,4
2015-10-27,Bologna,Inter,7,11,3,5
2015-10-28,Torino,Genoa,17,10,7,4
2015-10-28,Sassuolo,Juventus,7,14,3,3
2015-10-28,Roma,Udinese,19,6,8,2
2015-10-28,Atalanta,Lazio,8,7,3,3
2015-10-28,AC Milan,Chievo,24,4,4,3
2015-10-28,Verona,Fiorentina,3,9,0,2
2015-10-28,Frosinone,Carpi,8,13,3,3
2015-10-28,Napoli,Palermo,23,8,8,0
2015-10-29,Sampdoria,Empoli,14,17,3,5
2015-10-31,Juventus,Torino,17,10,6,5
2015-10-31,Inter,Roma,10,19,3,9
2015-11-01,Fiorentina,Frosinone,31,6,9,1
2015-11-01,Genoa,Napoli,9,18,1,8
2015-11-01,Bologna,Atalanta,10,8,5,2
2015-11-01,Carpi,Verona,11,11,6,3
2015-11-01,Udinese,Sassuolo,14,6,2,2
2015-11-01,Lazio,AC Milan,10,9,4,3
2015-11-02,Chievo,Sampdoria,15,10,2,3
2015-11-03,Palermo,Empoli,15,14,4,5
2015-11-07,AC Milan,Atalanta,8,15,2,4
2015-11-07,Verona,Bologna,11,10,2,4
2015-11-08,Torino,Inter,16,7,8,2
2015-11-08,Sassuolo,Carpi,9,7,4,2
2015-11-08,Palermo,Chievo,14,13,3,3
2015-11-08,Roma,Lazio,14,7,2,1
2015-11-08,Empoli,Juventus,12,11,4,4
2015-11-08,Frosinone,Genoa,18,10,5,3
2015-11-08,Napoli,Udinese,15,8,5,2
